U_Ga-4p,U_Sb-5p,a(A),Eg(eV),meff
-5.0,6.56,6.175159555697339,0.8134230732595987,0.12989127485137458
-5.0,6.55,6.175477848521127,0.8103354769857839,0.1297120885066112
