             JOBID            PARTITION     NAME     USER ST       TIME  NODES     NODELIST(REASON)
           4229469      zen2_0256_a40x2 train_ss dschnoel  R 1-05:57:53      1            n3066-018
           4229470      zen2_0256_a40x2 train_ss dschnoel  R 1-05:57:53      1            n3066-019
           4229462      zen2_0256_a40x2 train_ss dschnoel  R 1-05:57:56      1            n3067-008
           4229465      zen2_0256_a40x2 train_ss dschnoel  R 1-05:57:56      1            n3066-005
           4229460      zen2_0256_a40x2 train_ss dschnoel  R 1-05:57:59      1            n3066-012
           4229461      zen2_0256_a40x2 train_ss dschnoel  R 1-05:57:59      1            n3067-007
           4229444      zen2_0256_a40x2 train_ss dschnoel  R 1-06:15:17      1            n3066-011
           4233895            zen3_0512   Sm_wan tammurel PD       0:00      1          (Resources)
           4233843            zen3_0512   UvalGA  gentles PD       0:00      1           (Priority)
           4226982            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226981            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226980            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226979            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226978            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226977            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226976            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226975            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226974            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226973            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226972            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226971            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226970            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226969            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226968            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226967            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226966            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226965            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226964            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226963            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226962            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226961            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226960            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226959            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226958            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226957            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226956            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226955            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226954            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226953            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226952            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226951            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226950            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226949            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226948            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226947            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226946            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226945            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226944            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226943            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226942            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226941            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226940            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226939            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226938            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226937            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226936            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226935            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226934            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226933            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226932            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226931            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226930            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226929            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226928            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226927            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226926            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4226925            zen3_0512 lcm_expr    omidn PD       0:00      1         (Dependency)
           4233869            zen3_0512 interact schaefer PD       0:00      8           (Priority)
           4079595            zen3_0512 AlV_46_t wilhelme PD       0:00      4 (Job's QOS not permi
           4153845            zen3_0512 8_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153846            zen3_0512 9_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153843            zen3_0512 6_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153844            zen3_0512 7_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153842            zen3_0512 5_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153841            zen3_0512 4_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153840            zen3_0512 3_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153839            zen3_0512 2_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153837            zen3_0512 15_20_50 reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153838            zen3_0512 16_20_50 reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153836            zen3_0512 14_20_50 reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153831            zen3_0512 9_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153832            zen3_0512 10_20_50 reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153833            zen3_0512 11_20_50 reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153834            zen3_0512 12_20_50 reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153835            zen3_0512 13_20_50 reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153830            zen3_0512 8_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153829            zen3_0512 7_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
           4153828            zen3_0512 6_20_50_ reyhaneh PD       0:00      1 (QOSMaxWallDurationP
