U_Ga-4p,U_As-4p,a(A),Eg(eV),meff
-5.0,6.34,5.712310516400869,1.5188504055765737,0.07249161277888366
-4.99,6.34,5.712037971083684,1.5201093279126838,0.07254197197895597
-4.99,6.33,5.712296988835309,1.5167244103651452,0.07241215790984365
-4.98,6.33,5.712024122250908,1.5179848580209332,0.07246259835772115
-4.97,6.33,5.711751537736132,1.519244454612733,0.07251299039818035
-4.96,6.33,5.711478639541218,1.5205054478841082,0.07256344154496008
-4.96,6.32,5.711737580064298,1.5171213557456047,0.07243368344498409
-4.95,6.32,5.7114644277682425,1.5183835055718564,0.07248420746255031
-4.94,6.32,5.711192966473173,1.5196393836034645,0.07253449399779435
-4.93,6.32,5.71092079392261,1.5208981395238428,0.0725848802801256
-4.93,6.31,5.711178554816768,1.5175192061339566,0.07245534059064883
-4.92,6.31,5.710906021725718,1.5187795685521948,0.0725058186486183
-4.91,6.31,5.71063321417594,1.5200412828277323,0.07255633900352002
-4.9,6.31,5.71036137764804,1.5212992569201973,0.07260671327528609
-4.9,6.3,5.710617931125381,1.5179257142477296,0.0724774062983724
-4.89,6.3,5.710346108254552,1.5191837757871123,0.07252781508156422
-4.88,6.3,5.710073468800851,1.5204454819966011,0.07257835120737986
-4.88,6.29,5.710330328999949,1.5170711425133163,0.07244901695871932
-4.87,6.29,5.710057388378241,1.5183341870926195,0.072499634370387
-4.86,6.29,5.709840186100951,1.5193755209507687,0.07254187582712594
-4.85,6.29,5.709567054920257,1.5206398147948954,0.07259254533654584
-4.85,6.28,5.709824549024714,1.5172634460228178,0.07246313298901597
-4.84,6.28,5.709550220665694,1.51853267509591,0.07251401805629404
-4.83,6.28,5.709274711710449,1.5198068414380588,0.07256506733071909
-4.82,6.28,5.708999372278012,1.5210806306322673,0.0726160968699959
-4.82,6.27,5.709257835575643,1.517700774797033,0.07248660688276663
-4.81,6.27,5.708982293041805,1.5189755537161986,0.07253770156041013
-4.8,6.27,5.7087059578357175,1.5202535977299387,0.07258891246396267
-4.8,6.26,5.7089651297038415,1.5168716054893652,0.07245932050596968
-4.79,6.26,5.70868864022386,1.518150597167531,0.07251060610099888
-4.78,6.26,5.708411962516474,1.5194304670265264,0.072561914318331
-4.77,6.26,5.708135428405489,1.5207100393360555,0.07261320081386882
-4.77,6.25,5.708394074254682,1.517330578405792,0.07248374123804374
-4.76,6.25,5.708117113498436,1.5186120453308956,0.07253512772266774
-4.75,6.25,5.707840403673723,1.5198927090885064,0.07258648501729814
-4.74,6.25,5.707562770609082,1.521177344132728,0.07263797993708578
-4.74,6.24,5.707821832136923,1.517796721562433,0.07250850606276638
-4.73,6.24,5.707544565580688,1.5190800296432723,0.07255998051654979
-4.72,6.24,5.7072669994628376,1.5203648297827121,0.07261151890686345
-4.72,6.23,5.707526209487075,1.5169841628780092,0.07248202177042887
-4.71,6.23,5.7072480801709276,1.5182713974766968,0.07253368320617741
-4.7,6.23,5.706970582322591,1.5195561845562604,0.07258522550185234
-4.69,6.23,5.706692156702663,1.520845184030915,0.07263693591742537
-4.69,6.22,5.706951229857362,1.5174654639899492,0.07250750856406532
-4.68,6.22,5.706672730118484,1.5187548549793028,0.07255926444583682
-4.67,6.22,5.706393236803131,1.5200484847966798,0.07261117734064547
-4.67,6.21,5.706652625267171,1.51666809959999,0.07248171525225873
-4.66,6.21,5.706373430785654,1.517960653151385,0.07253361781978081
